titulo_puesto,empresa,carrera_requerida,provincia,experiencia_requerida,salario_minimo,salario_maximo,fecha_publicacion,sector
Ingeniero Civil,Ministerio de Salud,Ingeniería Civil,Manabí,1 año,1062,1351,2025-10-12,Público
Gerente General,Schlumberger,Contabilidad y Auditoría,El Oro,1 año,876,1057,2025-09-10,Privado
Psicólogo Clínico,EP Petroecuador,Medicina,Tungurahua,1 año,1638,1888,2025-09-20,Privado
Content Manager,Fybeca,Comunicación Social,El Oro,3 años,1110,1317,2025-11-11,Privado
Tecnólogo Médico,Ministerio de Salud,Medicina,Azuay,1 año,1363,1618,2025-11-12,Público
Ingeniero Eléctrico,Corporación GPF,Ingeniería Eléctrica,Manabí,1 año,1005,1239,2025-10-19,Privado
Especialista en SEO,Unilever Andina,Comunicación Social,El Oro,2 años,972,1167,2025-12-01,Privado
Nutricionista,Schlumberger,Enfermería,El Oro,Sin experiencia,537,604,2025-10-30,Privado
Odontólogo/a,Produbanco,Enfermería,Manabí,3 años,989,1087,2025-10-13,Privado
Ingeniero de Calidad,Universidad San Francisco,Ingeniería Civil,Manabí,Sin experiencia,869,1073,2025-11-11,Privado
Ingeniero Industrial,OCP Ecuador,Ingeniería Industrial,Azuay,5+ años,2006,2460,2025-10-19,Privado
Fisioterapeuta,Produbanco,Medicina,Guayas,3 años,2228,2516,2025-09-12,Privado
Jefe de Mantenimiento,Holcim Ecuador,Ingeniería Civil,Manabí,1 año,1081,1325,2025-10-01,Privado
Auxiliar de Enfermería,Schlumberger,Enfermería,Guayas,Sin experiencia,520,643,2025-09-20,Privado
Fisioterapeuta,EP Petroecuador,Enfermería,El Oro,3 años,983,1091,2025-10-08,Privado
Auxiliar de Enfermería,Consorcio Nobis,Medicina,Manabí,3 años,2170,2815,2025-11-22,Privado
Coordinador Administrativo,Grupo Wright,Contabilidad y Auditoría,Manabí,3 años,1194,1444,2025-09-27,Privado
Jefe de Mantenimiento,Claro Ecuador,Ingeniería Industrial,Guayas,3 años,1495,1727,2025-11-12,Privado
Ingeniero Eléctrico,Movistar Ecuador,Ingeniería Industrial,Manabí,Sin experiencia,732,847,2025-10-11,Privado
Jefe de Recursos Humanos,OCP Ecuador,Contabilidad y Auditoría,Guayas,1 año,744,875,2025-09-26,Privado
Ingeniero Mecánico,Halliburton,Ingeniería Civil,Manabí,Sin experiencia,850,1014,2025-09-14,Privado
Ingeniero de Calidad,Repsol Ecuador,Ingeniería Civil,Tungurahua,4 años,1917,2116,2025-11-19,Privado
Auxiliar de Enfermería,Banco Pichincha,Enfermería,Azuay,2 años,806,949,2025-10-30,Privado
Ingeniero de Proyectos,Ministerio de Educación,Ingeniería Eléctrica,Manabí,1 año,1038,1232,2025-09-10,Público
Nutricionista,Schlumberger,Enfermería,El Oro,Sin experiencia,522,622,2025-09-23,Privado
Coordinador de Publicidad,Corporación Favorita,Comunicación Social,Manabí,1 año,763,940,2025-09-17,Privado
Odontólogo/a,La Fabril,Enfermería,Guayas,1 año,637,748,2025-10-04,Privado
Supervisor de Obra,Hospital Metropolitano,Ingeniería Industrial,Manabí,3 años,1337,1725,2025-10-30,Privado
Analista de Marketing Digital,Industrias Ales,Marketing,Pichincha,2 años,1070,1188,2025-10-21,Privado
Ingeniero Mecánico,Pronaca,Ingeniería Civil,Pichincha,4 años,1918,2186,2025-09-09,Privado
Diseñador Gráfico,SRI,Comunicación Social,Guayas,2 años,895,1004,2025-10-04,Público
Ingeniero Ambiental,Corporación GPF,Ingeniería Industrial,Guayas,Sin experiencia,816,1054,2025-09-21,Privado
Analista Financiero,Nestlé Ecuador,Administración de Empresas,Tungurahua,3 años,1140,1325,2025-12-02,Privado
Tecnólogo Médico,Ministerio de Salud,Enfermería,Pichincha,3 años,998,1263,2025-10-08,Público
Psicólogo Clínico,Unilever Andina,Medicina,Tungurahua,2 años,1901,2223,2025-10-31,Privado
Gerente de Operaciones,Grupo Wright,Contabilidad y Auditoría,El Oro,3 años,1084,1376,2025-11-08,Privado
Tecnólogo Médico,Corporación GPF,Medicina,El Oro,2 años,1940,2312,2025-09-26,Privado
Odontólogo/a,Almacenes Juan Eljuri,Enfermería,El Oro,2 años,801,1010,2025-11-14,Privado
Jefe de Mantenimiento,Tecnipak,Ingeniería Industrial,El Oro,2 años,1222,1422,2025-10-08,Privado
Psicólogo Clínico,ARCA Continental,Medicina,Guayas,Sin experiencia,1260,1529,2025-12-01,Privado
Nutricionista,Corporación Favorita,Enfermería,Manabí,Sin experiencia,599,680,2025-10-04,Privado
Analista Financiero,Hospital Metropolitano,Contabilidad y Auditoría,Azuay,Sin experiencia,688,853,2025-10-12,Privado
Ingeniero Civil,Almacenes Juan Eljuri,Ingeniería Eléctrica,Guayas,2 años,1210,1505,2025-11-08,Privado
Ingeniero Eléctrico,Industrias Ales,Ingeniería Eléctrica,El Oro,1 año,1146,1363,2025-09-09,Privado
Psicólogo Clínico,Ministerio de Educación,Medicina,Manabí,2 años,1869,2170,2025-11-20,Público
Coordinador Administrativo,Almacenes Juan Eljuri,Contabilidad y Auditoría,Azuay,4 años,1260,1573,2025-10-19,Privado
Coordinador Administrativo,Movistar Ecuador,Contabilidad y Auditoría,Azuay,1 año,760,854,2025-10-01,Privado
Gerente de Operaciones,EP Petroecuador,Contabilidad y Auditoría,Guayas,2 años,905,1083,2025-11-21,Privado
Técnico Industrial,Diners Club,Ingeniería Eléctrica,Pichincha,3 años,1642,1903,2025-10-23,Privado
Analista Financiero,Banco Pichincha,Administración de Empresas,El Oro,1 año,906,1046,2025-09-13,Privado
Ingeniero Ambiental,Consorcio Nobis,Ingeniería Eléctrica,El Oro,Sin experiencia,944,1131,2025-09-08,Privado
Gerente de Marketing,Industrias Ales,Comunicación Social,Manabí,1 año,741,842,2025-09-13,Privado
Brand Manager,Unilever Andina,Marketing,Pichincha,1 año,833,928,2025-11-26,Privado
Ingeniero de Software,Corporación El Rosado,Ingeniería en Sistemas,Tungurahua,4 años,2092,2336,2025-10-08,Privado
Médico Especialista,Halliburton,Medicina,Tungurahua,3 años,2140,2618,2025-11-12,Privado
Auxiliar de Enfermería,ARCA Continental,Enfermería,Azuay,2 años,900,1168,2025-10-16,Privado
Analista de E-commerce,Cervecería Nacional,Comunicación Social,Tungurahua,4 años,1310,1466,2025-10-03,Privado
Ingeniero Ambiental,OCP Ecuador,Ingeniería Civil,Guayas,3 años,1459,1765,2025-09-27,Privado
Arquitecto de Software,ARCA Continental,Ingeniería en Sistemas,El Oro,1 año,1222,1415,2025-10-06,Privado
Gerente de Marketing,La Fabril,Marketing,Pichincha,4 años,1410,1811,2025-11-26,Privado
Ejecutivo de Ventas,Tecnipak,Comunicación Social,Pichincha,2 años,908,1116,2025-10-11,Privado
Gerente de Operaciones,Cervecería Nacional,Administración de Empresas,Guayas,3 años,1333,1624,2025-11-18,Privado
Brand Manager,Unilever Andina,Marketing,Manabí,4 años,1411,1749,2025-10-11,Privado
Ingeniero de Proyectos,Moderna Alimentos,Ingeniería Eléctrica,Manabí,1 año,1007,1115,2025-11-01,Privado
Analista de Recursos Humanos,Claro Ecuador,Contabilidad y Auditoría,Pichincha,Sin experiencia,587,758,2025-11-19,Privado
Community Manager,Movistar Ecuador,Comunicación Social,Tungurahua,1 año,681,852,2025-11-06,Privado
Jefe de Mantenimiento,Movistar Ecuador,Ingeniería Eléctrica,Guayas,2 años,1451,1722,2025-11-08,Privado
Auxiliar de Enfermería,Fybeca,Medicina,Manabí,3 años,2029,2503,2025-09-27,Privado
Asistente Contable,Moderna Alimentos,Contabilidad y Auditoría,Azuay,4 años,1321,1558,2025-11-16,Privado
DevOps Engineer,OCP Ecuador,Ingeniería en Sistemas,Azuay,Sin experiencia,912,1024,2025-10-28,Privado
Ingeniero Civil,La Fabril,Ingeniería Eléctrica,Manabí,2 años,1202,1446,2025-11-25,Privado
Jefe de Mantenimiento,Cervecería Nacional,Ingeniería Industrial,Guayas,2 años,1144,1288,2025-10-13,Privado
Jefe de Mantenimiento,Unilever Andina,Ingeniería Industrial,Pichincha,1 año,1094,1336,2025-10-07,Privado
Analista Financiero,Banco Pichincha,Administración de Empresas,Tungurahua,Sin experiencia,706,808,2025-09-21,Privado
Ingeniero Mecánico,Corporación El Rosado,Ingeniería Industrial,Manabí,1 año,1086,1257,2025-12-06,Privado
Content Manager,Industrias Ales,Marketing,Manabí,4 años,1290,1561,2025-10-26,Privado
Técnico Industrial,Grupo Wright,Ingeniería Civil,El Oro,1 año,1183,1505,2025-10-12,Privado
Nutricionista,Grupo Wright,Enfermería,Azuay,2 años,893,1032,2025-10-15,Privado
Analista de E-commerce,Moderna Alimentos,Comunicación Social,Guayas,3 años,1038,1242,2025-10-19,Privado
Ingeniero de Proyectos,Repsol Ecuador,Ingeniería Eléctrica,Manabí,1 año,1195,1522,2025-12-05,Privado
Técnico Industrial,Repsol Ecuador,Ingeniería Civil,Guayas,5+ años,2356,2785,2025-10-17,Privado
Ingeniero de Calidad,Repsol Ecuador,Ingeniería Industrial,El Oro,5+ años,2116,2603,2025-09-26,Privado
Ingeniero Civil,Consorcio Nobis,Ingeniería Industrial,Tungurahua,1 año,1093,1274,2025-09-19,Privado
Ingeniero Mecánico,Almacenes Juan Eljuri,Ingeniería Industrial,Manabí,2 años,1083,1222,2025-11-29,Privado
Gerente de Operaciones,Industrias Ales,Administración de Empresas,Azuay,1 año,870,1077,2025-11-29,Privado
Nutricionista,Repsol Ecuador,Medicina,Azuay,1 año,1538,1964,2025-11-08,Privado
Ingeniero Civil,Holcim Ecuador,Ingeniería Eléctrica,Guayas,Sin experiencia,903,1159,2025-10-06,Privado
Tecnólogo Médico,Nestlé Ecuador,Medicina,El Oro,2 años,1873,2097,2025-09-28,Privado
Community Manager,Pronaca,Marketing,Azuay,2 años,1080,1251,2025-10-24,Privado
Odontólogo/a,SRI,Enfermería,Tungurahua,Sin experiencia,550,679,2025-09-30,Público
Contador,OCP Ecuador,Administración de Empresas,Tungurahua,1 año,966,1182,2025-10-07,Privado
Técnico Industrial,Corporación El Rosado,Ingeniería Industrial,Guayas,4 años,1587,1826,2025-10-09,Privado
DevOps Engineer,Diners Club,Ingeniería en Sistemas,El Oro,1 año,1211,1349,2025-10-21,Privado
Gerente de Marketing,Tecnipak,Comunicación Social,El Oro,Sin experiencia,570,723,2025-10-02,Privado
Auxiliar de Enfermería,Nestlé Ecuador,Enfermería,Guayas,2 años,820,960,2025-10-14,Privado
Community Manager,Schlumberger,Marketing,Azuay,5+ años,1532,1950,2025-09-13,Privado
Brand Manager,Diners Club,Comunicación Social,Guayas,1 año,766,896,2025-11-27,Privado
Técnico Industrial,Claro Ecuador,Ingeniería Civil,El Oro,3 años,1618,2028,2025-12-03,Privado
Gerente de Operaciones,Pronaca,Administración de Empresas,Azuay,3 años,1332,1474,2025-10-23,Privado
Gerente de Operaciones,Diners Club,Administración de Empresas,Azuay,1 año,944,1071,2025-09-23,Privado
Supervisor de Obra,Almacenes Juan Eljuri,Ingeniería Eléctrica,Tungurahua,3 años,1667,2110,2025-10-09,Privado
Ingeniero Ambiental,Hospital Metropolitano,Ingeniería Industrial,Pichincha,1 año,993,1107,2025-10-05,Privado
Médico Especialista,Corporación GPF,Enfermería,Pichincha,2 años,888,979,2025-11-14,Privado
Auxiliar de Enfermería,Corporación GPF,Medicina,El Oro,2 años,1889,2176,2025-10-25,Privado
Gerente de Operaciones,Ministerio de Educación,Contabilidad y Auditoría,Manabí,2 años,868,1108,2025-11-17,Público
Analista de Recursos Humanos,Ministerio de Educación,Contabilidad y Auditoría,El Oro,Sin experiencia,584,738,2025-12-05,Público
Content Manager,Unilever Andina,Marketing,Guayas,3 años,1081,1197,2025-11-09,Privado
Enfermero/a,SRI,Medicina,Tungurahua,1 año,1390,1655,2025-12-01,Público
Ingeniero de Calidad,Corporación El Rosado,Ingeniería Eléctrica,Manabí,1 año,1134,1436,2025-11-24,Privado
Psicólogo Clínico,Pronaca,Enfermería,El Oro,Sin experiencia,545,647,2025-10-07,Privado
Gerente de Operaciones,Corporación GPF,Contabilidad y Auditoría,Tungurahua,2 años,1037,1274,2025-09-14,Privado
Psicólogo Clínico,Ministerio de Salud,Enfermería,Pichincha,3 años,1068,1350,2025-09-18,Público
Técnico Industrial,Corporación Favorita,Ingeniería Civil,Pichincha,Sin experiencia,930,1068,2025-09-23,Privado
Ejecutivo de Ventas,Holcim Ecuador,Comunicación Social,Tungurahua,2 años,847,968,2025-10-06,Privado
Contador,Banco Pichincha,Contabilidad y Auditoría,Azuay,1 año,857,967,2025-09-23,Privado
Ingeniero Ambiental,EP Petroecuador,Ingeniería Eléctrica,Pichincha,2 años,1362,1505,2025-09-08,Privado
Auditor,Universidad San Francisco,Contabilidad y Auditoría,Pichincha,1 año,747,829,2025-10-30,Privado
Ingeniero Mecánico,Holcim Ecuador,Ingeniería Eléctrica,Manabí,3 años,1524,1786,2025-11-21,Privado
Auxiliar de Enfermería,Grupo Wright,Medicina,Guayas,1 año,1633,1810,2025-11-30,Privado
Ingeniero Ambiental,La Fabril,Ingeniería Eléctrica,El Oro,4 años,1923,2138,2025-11-07,Privado
Tecnólogo Médico,Nestlé Ecuador,Enfermería,Manabí,Sin experiencia,583,693,2025-09-17,Privado
Analista de Recursos Humanos,Corporación El Rosado,Contabilidad y Auditoría,Pichincha,1 año,740,906,2025-11-20,Privado
Supervisor de Obra,Repsol Ecuador,Ingeniería Eléctrica,Tungurahua,Sin experiencia,885,1053,2025-11-23,Privado
Enfermero/a,Unilever Andina,Enfermería,El Oro,4 años,1153,1445,2025-10-04,Privado
Auxiliar de Enfermería,Ministerio de Educación,Enfermería,Manabí,4 años,1083,1289,2025-10-30,Público
Nutricionista,Tecnipak,Medicina,Azuay,1 año,1549,1819,2025-09-26,Privado
Ingeniero Mecánico,OCP Ecuador,Ingeniería Industrial,Pichincha,3 años,1286,1439,2025-10-24,Privado
Gerente General,Cervecería Nacional,Administración de Empresas,Tungurahua,3 años,1375,1666,2025-12-01,Privado
Tecnólogo Médico,Fybeca,Medicina,El Oro,2 años,1958,2319,2025-09-13,Privado
Analista de E-commerce,Produbanco,Marketing,Azuay,2 años,939,1128,2025-09-26,Privado
Ingeniero Eléctrico,Nestlé Ecuador,Ingeniería Industrial,Azuay,1 año,1069,1254,2025-10-12,Privado
Ejecutivo de Ventas,Tecnipak,Comunicación Social,Tungurahua,Sin experiencia,656,828,2025-11-24,Privado
Ingeniero Civil,Movistar Ecuador,Ingeniería Eléctrica,Pichincha,4 años,1647,2043,2025-10-16,Privado
Jefe de Recursos Humanos,Banco Pichincha,Contabilidad y Auditoría,Guayas,4 años,1374,1667,2025-10-28,Privado
Odontólogo/a,Corporación Favorita,Medicina,Pichincha,2 años,1888,2158,2025-10-30,Privado
Supervisor de Obra,CNT,Ingeniería Industrial,Azuay,1 año,962,1120,2025-11-18,Público
Analista de Marketing Digital,Cervecería Nacional,Comunicación Social,Guayas,1 año,698,854,2025-12-02,Privado
Psicólogo Clínico,ARCA Continental,Medicina,El Oro,3 años,2068,2525,2025-10-30,Privado
Ejecutivo de Ventas,Grupo Wright,Marketing,Pichincha,4 años,1317,1477,2025-12-02,Privado
Brand Manager,Almacenes Juan Eljuri,Comunicación Social,El Oro,4 años,1154,1320,2025-11-22,Privado
Desarrollador Full Stack,IESS,Ingeniería en Sistemas,Azuay,3 años,1829,2292,2025-10-09,Público
Especialista en SEO,Unilever Andina,Marketing,Pichincha,2 años,1019,1208,2025-09-23,Privado
Médico Especialista,Ministerio de Educación,Enfermería,Tungurahua,Sin experiencia,566,698,2025-10-22,Público
Tecnólogo Médico,Pronaca,Medicina,Manabí,1 año,1355,1740,2025-10-17,Privado
Content Manager,Schlumberger,Comunicación Social,El Oro,4 años,1233,1427,2025-10-28,Privado
Desarrollador Mobile,CNT,Ingeniería en Sistemas,Tungurahua,2 años,1428,1767,2025-10-23,Público
Tecnólogo Médico,Nestlé Ecuador,Medicina,Guayas,Sin experiencia,1184,1397,2025-09-17,Privado
Psicólogo Clínico,Hospital Metropolitano,Enfermería,Guayas,Sin experiencia,541,613,2025-11-11,Privado
Médico Especialista,Grupo Wright,Medicina,Guayas,3 años,2270,2655,2025-11-28,Privado
Auditor,Nestlé Ecuador,Administración de Empresas,Guayas,Sin experiencia,684,776,2025-09-26,Privado
Odontólogo/a,Moderna Alimentos,Medicina,Manabí,1 año,1576,1973,2025-11-03,Privado
Analista de E-commerce,Universidad San Francisco,Comunicación Social,El Oro,2 años,866,1028,2025-11-06,Privado
Ingeniero Ambiental,Movistar Ecuador,Ingeniería Industrial,Tungurahua,3 años,1275,1531,2025-10-16,Privado
Jefe de Mantenimiento,Pronaca,Ingeniería Industrial,Pichincha,3 años,1363,1577,2025-11-28,Privado
Farmacéutico/a,Grupo Wright,Medicina,Manabí,1 año,1488,1801,2025-09-12,Privado
Técnico Industrial,Ministerio de Salud,Ingeniería Industrial,Azuay,3 años,1429,1715,2025-09-14,Público
Ingeniero Mecánico,Hospital Metropolitano,Ingeniería Industrial,El Oro,1 año,916,1125,2025-09-12,Privado
Jefe de Mantenimiento,ARCA Continental,Ingeniería Civil,Tungurahua,1 año,1105,1250,2025-10-24,Privado
Content Manager,Halliburton,Marketing,Azuay,3 años,1232,1368,2025-11-26,Privado
Gerente de Operaciones,Hospital Metropolitano,Contabilidad y Auditoría,Pichincha,2 años,971,1143,2025-10-09,Privado
Diseñador Gráfico,Hospital Metropolitano,Comunicación Social,Pichincha,3 años,1067,1203,2025-10-21,Privado
Content Manager,Consorcio Nobis,Marketing,Tungurahua,3 años,1239,1383,2025-11-17,Privado
Nutricionista,Consorcio Nobis,Enfermería,El Oro,2 años,874,1126,2025-12-03,Privado
Ingeniero Mecánico,Tecnipak,Ingeniería Eléctrica,Tungurahua,Sin experiencia,855,1002,2025-09-30,Privado
Supervisor de Obra,Moderna Alimentos,Ingeniería Civil,Guayas,1 año,1039,1171,2025-09-16,Privado
Analista de Marketing Digital,Grupo Wright,Marketing,Tungurahua,1 año,906,1156,2025-09-11,Privado
Analista de Recursos Humanos,Consorcio Nobis,Contabilidad y Auditoría,Tungurahua,1 año,780,883,2025-12-04,Privado
Diseñador Gráfico,ARCA Continental,Comunicación Social,Pichincha,5+ años,1473,1819,2025-10-07,Privado
Técnico Industrial,Diners Club,Ingeniería Industrial,El Oro,1 año,1056,1211,2025-10-07,Privado
Brand Manager,Ministerio de Salud,Marketing,Azuay,4 años,1408,1709,2025-11-02,Público
Ingeniero Ambiental,Repsol Ecuador,Ingeniería Industrial,Tungurahua,2 años,1206,1559,2025-10-02,Privado
Diseñador Gráfico,Claro Ecuador,Comunicación Social,Pichincha,3 años,1079,1375,2025-11-16,Privado
Médico Especialista,Unilever Andina,Medicina,Azuay,2 años,1650,1867,2025-11-03,Privado
Ingeniero Industrial,Tecnipak,Ingeniería Eléctrica,Pichincha,2 años,1437,1644,2025-11-03,Privado
Asistente Administrativo,Halliburton,Contabilidad y Auditoría,Pichincha,2 años,940,1104,2025-10-26,Privado
Nutricionista,Ministerio de Educación,Medicina,Pichincha,1 año,1445,1618,2025-11-29,Público
Contador,Consorcio Nobis,Contabilidad y Auditoría,Pichincha,3 años,1072,1357,2025-12-05,Privado
Coordinador Administrativo,ARCA Continental,Administración de Empresas,Tungurahua,1 año,810,903,2025-10-09,Privado
Ingeniero Industrial,Almacenes Juan Eljuri,Ingeniería Civil,Manabí,Sin experiencia,811,938,2025-10-15,Privado
Médico General,SRI,Medicina,Manabí,2 años,1850,2265,2025-09-15,Público
Auxiliar de Enfermería,Corporación Favorita,Medicina,El Oro,1 año,1504,1727,2025-09-25,Privado
Content Manager,Banco Pichincha,Marketing,Tungurahua,4 años,1319,1601,2025-09-30,Privado
Médico Especialista,Corporación GPF,Medicina,Pichincha,5+ años,3272,3955,2025-11-10,Privado
Ingeniero Civil,Repsol Ecuador,Ingeniería Eléctrica,Manabí,4 años,1599,1882,2025-10-24,Privado
Community Manager,Fybeca,Marketing,Pichincha,1 año,823,1025,2025-11-26,Privado
Farmacéutico/a,Hospital Metropolitano,Medicina,Guayas,Sin experiencia,1090,1318,2025-11-28,Privado
Coordinador Administrativo,Industrias Ales,Administración de Empresas,El Oro,4 años,1348,1519,2025-11-04,Privado
Especialista en Ciberseguridad,Ministerio de Salud,Ingeniería en Sistemas,Pichincha,2 años,1523,1945,2025-10-17,Público
Coordinador de Publicidad,Schlumberger,Marketing,Tungurahua,5+ años,1690,1871,2025-11-28,Privado
Ingeniero Ambiental,Fybeca,Ingeniería Civil,Pichincha,5+ años,2360,2752,2025-09-22,Privado
Asistente Contable,Schlumberger,Contabilidad y Auditoría,El Oro,4 años,1264,1632,2025-10-20,Privado
Coordinador Administrativo,Moderna Alimentos,Administración de Empresas,Azuay,1 año,976,1174,2025-09-17,Privado
Enfermero/a,Tecnipak,Enfermería,Tungurahua,1 año,769,873,2025-10-14,Privado
Gerente de Operaciones,OCP Ecuador,Contabilidad y Auditoría,Azuay,4 años,1321,1534,2025-11-23,Privado
Odontólogo/a,ARCA Continental,Enfermería,Azuay,1 año,692,861,2025-10-22,Privado
Content Manager,Movistar Ecuador,Comunicación Social,El Oro,1 año,822,1060,2025-09-16,Privado
Nutricionista,Grupo Wright,Enfermería,El Oro,2 años,870,1122,2025-09-25,Privado
Brand Manager,Pronaca,Comunicación Social,Guayas,4 años,1096,1376,2025-10-23,Privado
